n_lower,index_tail,index_mars,index_fact,index_tcc,ratio_tail,ratio_mars,ratio_fact,ratio_tcc,angres_tail,angres_mars,angres_fact,angres_tcc
0.00,nan,nan,553.0,nan,nan,nan,0.03426502088415422,nan,nan,nan,0.243515003372338,nan
0.05,nan,nan,833.0,nan,nan,nan,0.05062560981580739,nan,nan,nan,0.29727501313590315,nan
0.10,nan,nan,549.0,nan,nan,nan,0.11728205187352324,nan,nan,nan,0.4198721422767115,nan
0.15,nan,nan,271.0,nan,nan,nan,0.1633212688808525,nan,nan,nan,0.4284430037494395,nan
0.20,nan,nan,12.0,11.0,nan,nan,0.21799618776883897,0.21115455241141354,nan,nan,0.4773853181405678,0.4132625891223211
0.25,118.0,54.0,767.0,367.0,0.2632335877600229,0.2649679945339334,0.28745164979435234,0.2733030556341087,0.35778738634573776,0.2911071282378881,0.41488439082913814,0.3957257861896348
0.30,51.0,59.0,722.0,399.0,0.3129237412218195,0.3153922292946878,0.32126657610787784,0.3159014801531828,0.3077842186857373,0.282477501327812,0.3666083409439854,0.33954468600127113
0.35,140.0,76.0,691.0,171.0,0.3622999419670461,0.36420875981070955,0.3694795487715905,0.39045430148067933,0.33399890011056593,0.332489078127528,0.36603800527145425,0.38628055875435263
0.40,81.0,135.0,608.0,1495.0,0.4015853682028388,0.4027052476875028,0.4261512371685927,0.42621587408942985,0.35655131035395216,0.34265403439962305,0.36528440548952945,0.38282619909294446
0.45,47.0,15.0,503.0,807.0,0.4511336961249483,0.46264929319170545,0.46588448830565826,0.4553722838614918,0.3952417882639918,0.3954957244224032,0.4041986026165938,0.39041852540644356
0.50,nan,10.0,nan,nan,nan,0.5014362793892749,nan,nan,nan,1.3005666473341395,nan,nan
0.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
