reco_mask,rad,deg,deg2
False,,,
False,,,
False,,,
False,,,
True,0.004709977203877528,0.26986181538501086,0.07282539940289369
True,0.006098443881347904,0.3494150959986155,0.12209090931172167
False,,,
True,0.0017213537540919357,0.09862630515846808,0.009727148069211268
False,,,
False,,,
True,0.00228672016848167,0.13101941458144423,0.01716608699726436
True,0.02618105293174493,1.500063836197595,2.2501915126678456
True,0.0012508239198363936,0.07166693152063536,0.0051361490735834375
True,0.0001759474886455218,0.010081048515314373,0.00010162753916812213
True,0.0001884995796548304,0.01080023035421186,0.00011664497570403925
False,,,
False,,,
True,0.004603578148368261,0.26376559856015164,0.06957229098379507
False,,,
False,,,
False,,,
True,0.0007500716218573745,0.042975938264960184,0.0018469312697536688
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.001231550221141783,0.07056262992982737,0.004979084742613769
False,,,
False,,,
True,0.0035464436824358754,0.20319625528440965,0.04128871816160698
False,,,
False,,,
True,0.0013098254822377145,0.07504747203090882,0.005632123058230042
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0022924573042569746,0.13134812824786268,0.017252330794216984
True,0.006345056838891611,0.3635449776391088,0.13216495076662013
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.013818690965231464,0.7917526707033247,0.6268722915658472
True,0.0019388538239164324,0.11108814120321245,0.012340575115984867
False,,,
False,,,
False,,,
True,0.0004601108604217197,0.026362410410297448,0.0006949766826409593
True,0.0002748096633020247,0.015745433876617195,0.0002479186879629244
True,0.00015988402984881147,0.009160680121880574,8.391806029541789e-05
False,,,
False,,,
False,,,
True,0.0016973821995880556,0.09725283625702792,0.009458114160036285
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0008378003077632308,0.04800242170959458,0.002304232489985757
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.15341817805498778,8.790214103137385,77.2678639789954
False,,,
False,,,
False,,,
True,0.0022552636611397605,0.12921708947253052,0.016697056211751958
True,0.003174330014397547,0.18187571260668128,0.033078774836188124
False,,,
True,0.01338933003957641,0.7671521017754598,0.5885223472585054
True,0.014326837404896996,0.8208673170707589,0.6738231522349458
True,0.00039053084200119255,0.022375769016358717,0.0005006750390734387
False,,,
False,,,
False,,,
True,0.0014921472074646948,0.08549373739995866,0.0073091791346130905
True,0.0008514728157292541,0.04878579871140672,0.0023800541559098934
False,,,
False,,,
False,,,
False,,,
True,0.0009689369566990462,0.05551599823310554,0.003082026059818177
True,0.00010021391642968759,0.005741834459897838,3.29686629648703e-05
True,0.009013182935658021,0.5164173421925381,0.266686871317205
True,0.012132571797093395,0.6951451586129042,0.48322679154295967
False,,,
False,,,
False,,,
True,0.0017421840851873215,0.0998197952160938,0.009963991516982903
True,0.0004998329628124986,0.0286383192306756,0.0008201533283580838
True,0.002121338045904099,0.12154371695083417,0.014772875130224494
True,0.001439205277684977,0.08246038826430287,0.006799715632699578
False,,,
False,,,
False,,,
False,,,
True,0.000564287221079127,0.032331276200999605,0.0010453114207853234
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0054015565026347976,0.30948639040241943,0.09578182584431877
False,,,
True,0.0033335007506514395,0.1909955240160193,0.0364792901941538
True,0.0009657664025182725,0.05533433885982965,0.0030618890570544535
True,0.009306868239582128,0.5332442706124062,0.2843494521409571
True,0.0003295369129169333,0.018881074303910422,0.00035649496686978644
False,,,
False,,,
True,0.0011038631029024377,0.06324669695652498,0.004000144675910505
True,0.07499882967440857,4.297116408764129,18.465209430469926
True,0.007652754854952453,0.438470554837026,0.19225642745908944
False,,,
True,0.002641389582429189,0.1513404751230154,0.022903939410460046
True,0.006153727734133634,0.3525826274384604,0.12431450917140818
False,,,
False,,,
True,0.004546057533845807,0.2604699101130161,0.0678445740742827
True,0.00041408797913470186,0.023725493551519712,0.0005628990442632034
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.005587535970358168,0.3201422289790581,0.10249104677567966
True,0.010668528919869144,0.6112616807217648,0.37364084231879674
False,,,
False,,,
True,0.009910457944067185,0.5678274132369485,0.3224279712233643
True,0.002078050869547692,0.11906354443857355,0.014176127614276177
False,,,
False,,,
False,,,
True,0.0041558975151873585,0.2381153877091416,0.05669893786387482
True,0.002011742463754084,0.11526435264035902,0.013285870989601038
True,0.0008612793179506012,0.04934766990047557,0.002435192524606303
False,,,
False,,,
False,,,
False,,,
True,0.006184436161115815,0.354342090700025,0.12555831724166472
False,,,
True,0.002176022483657964,0.12467690443917649,0.015544330500535547
False,,,
True,0.028193344141957326,1.615359629694038,2.60938673324526
False,,,
False,,,
True,0.00390070650749991,0.22349401999896024,0.04994957697529564
False,,,
True,0.0014359260362182271,0.0822725015682538,0.0067687645142983244
True,0.0035717511948866187,0.20464626893781204,0.04188009539016729
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.007788966546386533,0.44627490987653706,0.19916129518531128
False,,,
True,0.004307480683342773,0.2468004634896687,0.06091046877871529
False,,,
True,0.0012625947443046786,0.07234135008405741,0.005233270931984153
False,,,
False,,,
True,0.006395689926007028,0.3664460398345405,0.13428270011041762
False,,,
True,0.0015866211496866794,0.09090669556324117,0.008264027298227812
False,,,
True,0.0017217844447414375,0.09865098191496029,0.009732016232785821
True,0.005056596789971903,0.28972165476479,0.08393863723964817
False,,,
False,,,
False,,,
False,,,
True,0.001875607592925828,0.1074643990973413,0.011548597073352651
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0032243431871473837,0.18474125632530564,0.03412933178865228
True,0.005171397887854108,0.2962992731569086,0.08779325927331236
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0033291696118089155,0.19074736803985748,0.036384558414132843
False,,,
True,0.001573863104612014,0.09017571342562516,0.008131659291820475
False,,,
False,,,
True,0.0007415108923739936,0.04248544459600925,0.001805013002520572
True,0.0017722000613798407,0.10153958396989031,0.010310287112778406
False,,,
True,0.0029259260263356144,0.16764321247651445,0.02810424668944577
True,0.0004139029939890846,0.02371489468340323,0.0005623962298449068
True,0.003919611683454947,0.22457720679213608,0.05043492181055785
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0033085482693676117,0.1895658521500768,0.03593521230138477
False,,,
True,0.006933110251536883,0.39723795631194797,0.15779799393489308
False,,,
False,,,
False,,,
True,0.005217918523182504,0.2989647092214929,0.08937989735989178
False,,,
True,0.0017034202164492344,0.0975987891398023,0.009525523641555591
False,,,
False,,,
False,,,
True,0.0017143226615833227,0.09822345323235851,0.00964784676488932
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.019556880107510884,1.1205266906037294,1.255580064355346
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0035283265692737493,0.20215822116325893,0.040867946383893114
False,,,
True,0.0018857024439974063,0.10804279145855586,0.011673244786156991
True,0.006628970628111453,0.3798120395069727,0.14425718535444618
False,,,
True,0.0024023354052539114,0.13764367969589938,0.018945782560227345
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.21945569205120075,12.573884944656491,158.10258260145918
True,0.0013805498114288232,0.07909967760245323,0.006256758996812042
True,0.0028826376059484494,0.16516296868654184,0.0272788062253516
False,,,
False,,,
False,,,
False,,,
True,0.004706908337351569,0.26968598228518437,0.07273052904112477
False,,,
False,,,
False,,,
True,0.0005061618980696502,0.029000940509721927,0.0008410545504484304
False,,,
False,,,
False,,,
False,,,
True,0.0019034892102815497,0.10906189809782287,0.011894497616699898
True,0.0004382595099774373,0.02511042025317875,0.0006305332052912496
False,,,
False,,,
True,0.0006933714305044232,0.03972725660285191,0.0015782549171888406
False,,,
False,,,
False,,,
False,,,
True,0.0004621291506118837,0.0264780499200265,0.0007010871275674153
True,0.006051459945478135,0.3467231147683644,0.12021691831467642
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0011505236590463029,0.06592014989330167,0.00434546616195536
True,0.0014088901631652702,0.0807234601468679,0.006516277018082971
False,,,
False,,,
True,0.0014936312867822202,0.08557876888131552,0.0073237256832416175
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.003925158606266653,0.22489502205853165,0.050577770946707436
True,0.0005739885351061089,0.03288712055047673,0.001081562698101589
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.004677088025530213,0.26797740427405664,0.07181188920146118
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.039096079522647154,2.240040352155524,5.017780779285044
False,,,
False,,,
False,,,
True,0.0016816787887369267,0.0963530970912983,0.009283919319085157
True,0.002751834974103904,0.1576685299326459,0.02485936533112166
False,,,
True,0.0030350395964289954,0.17389495953047007,0.030239456950103823
False,,,
True,0.004841623280175575,0.27740457994634615,0.07695330097520875
True,0.003174571146436286,0.1818895284548064,0.033083800561511834
False,,,
False,,,
True,0.003209341717609345,0.18388173543428193,0.03381249262632326
True,0.0023529714891451186,0.13481533564262768,0.01817517472443436
True,0.002687274897084089,0.15396950999437095,0.023706610007906696
False,,,
True,0.0017101105875542138,0.0979821191674939,0.009600495676552976
False,,,
False,,,
False,,,
True,0.004380632268080779,0.25099174055985,0.06299685382926307
False,,,
True,0.004664839336051372,0.26727560606235273,0.07143624959599797
False,,,
False,,,
True,0.005175351185630064,0.29652578043462935,0.08792753846236602
False,,,
True,0.0019236872306661863,0.11021915942038175,0.012148263103335529
False,,,
False,,,
False,,,
False,,,
True,0.0011099581957396722,0.06359592005183892,0.0040444410472398875
False,,,
False,,,
True,0.006982758012881051,0.40008256349924154,0.16006605761612464
False,,,
False,,,
True,0.0007958939156600937,0.04560136230746447,0.0020794842442966414
True,0.0005214894696773613,0.029879145673028323,0.0008927633461500472
False,,,
True,0.0010071380678305913,0.05770476067365331,0.0033298394044036055
True,0.001243780527618703,0.0712633748731064,0.005078468598304892
False,,,
True,0.0015199427385819606,0.08708630402230254,0.007584024348264907
True,0.004038355821384691,0.2313807447374297,0.0535370490352476
True,0.002039622426547952,0.1168617568414294,0.01365667021206537
False,,,
True,0.0015110551816719343,0.0865770845211757,0.007495591564186801
False,,,
False,,,
True,0.015389955151624625,0.88177947708371,0.777535046206021
True,0.0008436580867484542,0.04833804772276831,0.002336566857648627
False,,,
False,,,
False,,,
True,0.0024460392719016476,0.14014772680321722,0.01964138532810921
False,,,
False,,,
False,,,
True,0.11537782693233994,6.610662532613921,43.70085912010549
False,,,
