reco_mask,rad,deg,deg2
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0008037966631065809,0.04605415638270597,0.002120985320122737
False,,,
True,0.0012160499040550954,0.06967452717964566,0.0048545397377071815
True,0.0007846313297641463,0.04495606366922311,0.002021047660631242
True,0.0014697697189648144,0.08421160175281298,0.007091593869774373
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0020392173059218337,0.11683854513935912,0.01365124563028206
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.00046147244441882167,0.026440423426783943,0.0006990959909876251
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0008803754610806192,0.05044179830680334,0.0025443750164242285
True,0.0001586396221338566,0.009089380811820142,8.261684354228418e-05
True,0.0007695716414705642,0.04409320708921829,0.00194421091141269
False,,,
False,,,
False,,,
True,0.020640523994049143,1.1826149117975249,1.3985780296058676
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0007175781258547748,0.04111419808238601,0.0016903772839576736
True,0.0071042929964059195,0.4070460051184085,0.16568645028285545
False,,,
False,,,
False,,,
True,0.0004263145505912562,0.024426024493895394,0.0005966306725763777
False,,,
False,,,
False,,,
False,,,
True,0.005273606908596829,0.3021554186736316,0.0912978970338376
False,,,
False,,,
False,,,
False,,,
True,0.004229316452993776,0.24232198298178276,0.058719943436223415
True,0.015440298622730086,0.8846639455040917,0.7826302964748665
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.002761678966063873,0.15823254912551282,0.025037539602757827
True,0.0008569057796288944,0.04909708461310304,0.0024105237175061993
True,0.0029349144556716075,0.16815821154191846,0.0282771841089766
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0010542414962003315,0.06040358831983621,0.003648593481912253
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0006118613511310385,0.035057073066980624,0.0012289983720236183
False,,,
True,0.0037202426042784458,0.213154199989913,0.04543471297333983
False,,,
False,,,
True,0.0012704149266746251,0.07278941352887797,0.005298298721878003
True,0.013171521725718083,0.7546726046485168,0.5695307402069766
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0005782765912740617,0.033132808071215464,0.0010977829706840007
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.003699594122318255,0.21197112912024205,0.04493175958051033
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0029192475170477083,0.16726056208087853,0.02797609562761142
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.05141771453843239,2.9460180352606296,8.6790222640809
False,,,
False,,,
False,,,
True,0.0008168208099996445,0.04680038503143694,0.0021902760390907472
False,,,
False,,,
False,,,
False,,,
True,0.0012812108769518875,0.0734079759155982,0.005388730928025044
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0018195723233320306,0.10425381464573896,0.010868857868188095
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.005392642367073624,0.3089756480567567,0.09546595109209279
True,0.006759880251446218,0.387312608421702,0.15001105664242267
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.002566572477703355,0.14705377078683685,0.02162481150262755
False,,,
False,,,
True,0.012977442553340657,0.7435526871798983,0.5528705986124477
True,0.019167526855844164,1.0982183925435312,1.2060836377208974
False,,,
True,0.005114064206286574,0.2930142951791419,0.0858573771793293
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.005744496883659989,0.32913542685977126,0.10833012921416384
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.003937855712755873,0.22562251267239214,0.05090551822460375
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0008259915422104514,0.04732582928216086,0.002239734117244234
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.002142352659064861,0.1227477655930459,0.015067013958085343
True,0.060129225379008604,3.445150839608111,11.869064307652472
False,,,
False,,,
False,,,
False,,,
True,0.0033151723647954373,0.1899453848611831,0.03607924923006296
False,,,
False,,,
False,,,
True,0.0009477681472021861,0.054303114791619006,0.002948828276071751
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.022258937161732967,1.2753431558142065,1.6265001650821396
False,,,
False,,,
False,,,
False,,,
True,0.0004551939790429755,0.02608069385892894,0.0006802025921631737
True,0.014667396085080357,0.840379892121811,0.7062383630826666
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.015152229751090571,0.8681588149500516,0.753699727975478
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0007809635935741647,0.04474591786516978,0.00200219716559652
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.001040554107346723,0.05961935870597004,0.003554467932511125
True,0.006533699329044225,0.3743533961616918,0.14014046521779255
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0033352977012238707,0.19109848169981322,0.03651862970797385
False,,,
True,0.0058962362097986195,0.3378294498336739,0.11412873717492279
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0016215033470527412,0.09290529825245887,0.008631394443378338
False,,,
False,,,
True,0.004213600238326517,0.24142151021142724,0.05828434559276627
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0006951998720685938,0.03983201858756519,0.0015865897047601387
True,0.0005301018864091024,0.030372600803164944,0.0009224948795484158
False,,,
True,0.06870375915647327,3.9364354363492033,15.495523944545743
True,0.0030255268674568275,0.17334992030871302,0.030050194871037154
False,,,
False,,,
False,,,
True,0.002599875001037928,0.14896186482104382,0.02218963717096293
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0033782679165453044,0.19356049368249975,0.037465664714613024
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.002218712478569555,0.1271228609750456,0.016160221782480774
True,0.0016556477596000431,0.0948616289853728,0.00899872865375852
False,,,
True,0.0002971104858036822,0.01702317688563255,0.00028978855127953436
True,0.0005663122492882909,0.032447301770779625,0.0010528273922040387
False,,,
False,,,
False,,,
False,,,
True,0.006054231411840598,0.346881908093996,0.12032705816293149
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.00424544484776782,0.24324607193265635,0.059168651510667025
False,,,
True,0.01563199843842571,0.8956475358768866,0.8021845085223389
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.00019720013999313877,0.011298735740995847,0.00012766142934485697
True,0.0005904803782369753,0.03383203355826719,0.001144606494687717
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0438983495201537,2.51519015509495,6.326181516286558
False,,,
False,,,
False,,,
True,0.007294278718483848,0.41793138516121925,0.1746666427027754
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.00045385434111299983,0.026003938259465693,0.0006762048050021036
False,,,
False,,,
False,,,
True,0.0002818329463403804,0.016147838353040796,0.0002607526834759353
False,,,
True,0.0008285223774617508,0.04747083546070324,0.0022534802193371604
True,0.0012543937309932567,0.07187146663358233,0.005165507716062139
False,,,
False,,,
False,,,
False,,,
True,0.004662202046303715,0.2671245004904589,0.07135549876227716
False,,,
False,,,
False,,,
True,0.0022835123193816064,0.13083561836669574,0.017117959033395653
False,,,
False,,,
False,,,
False,,,
True,0.0012611815293830997,0.07226037883350604,0.005221562349161808
True,0.00210967543332516,0.12087549847196478,0.01461088613084596
True,0.0008825565019329399,0.05056676274258694,0.0025569974942650786
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.00039914927959944614,0.022869569116735513,0.0005230171915851428
False,,,
True,0.003943607688561301,0.22595207660990452,0.05105434092432816
True,0.016641207095662972,0.9534709325846467,0.9091068192838359
False,,,
False,,,
False,,,
True,0.0005272626862553575,0.03020992661716246,0.000912639666214341
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0012160543061771958,0.06967477940266291,0.00485457488480974
False,,,
False,,,
False,,,
True,0.0053927376482481556,0.3089811072659244,0.0954693246472767
False,,,
False,,,
True,0.0017732502016263834,0.10159975257391404,0.010322509723080553
False,,,
False,,,
True,0.009512052724950258,0.5450004756455639,0.29702551845389086
False,,,
False,,,
False,,,
True,0.04679765977299596,2.6813083960818185,7.189414714898854
False,,,
False,,,
False,,,
True,0.009912010462224369,0.5679163659749726,0.3225289987422191
False,,,
False,,,
False,,,
True,0.002676163624986421,0.15333288099815312,0.023510972395193785
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0012917368098656515,0.0740110674469947,0.005477638104643599
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.00025608400031839365,0.014672532419070785,0.0002152832075886832
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0021295565598881,0.12201460311598668,0.014887563373551746
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0005457727916407045,0.031270477534085225,0.0009778427652097287
